service,var,D,p_value,p_perm,n_hot,n_non,mean_hot,mean_non,median_hot,median_non,q10_hot,q90_hot,q10_non,q90_non,median_delta,mean_delta,auc,cliffs_delta,p_hot_greater,p_hot_less,p_adj,p_hot_greater_adj,p_hot_less_adj
C_Risk,GlobPOP_Count_30arc_2020_sum,0.09691820276497695,4.430872687431332e-57,NA,13888,13888,23237.142551599743,23711.35570449595,765.5190792381763,243.15561252832413,0,48407.719180274755,0,32866.75444597006,522.3634667098522,-474.21315289620543,0.5522890901653651,0.10457818033073019,0.007135418810078509,0,5.0638544999215224e-57,0.014270837620157018,0
Sed_export,GlobPOP_Count_30arc_2020_sum,0.0910061857505229,1e-323,NA,89884,89884,3700.7648792107893,8517.036292789253,98.14410362020135,219.88064878433943,0,5534.6611867524525,0,13405.2386239676,-121.73654516413808,-4816.271413578464,0.44063860801261656,-0.11872278397476688,0,0.9814719126587463,1.5e-323,0,1
C_Risk_Red_Ratio,GlobPOP_Count_30arc_2020_sum,0.043172849250197314,1.1089898663084386e-10,NA,12670,12670,20657.09640821666,24770.81333545929,216.26446318626404,327.37969560176134,0,39748.45994006097,0,32514.37040090561,-111.1152324154973,-4113.716927242629,0.497306207791868,-0.0053875844162639686,5.544953385339113e-11,9.339349738013425e-9,1.1089898663084386e-10,1.47865423609043e-10,1.2452466317351233e-8
C_Risk,fields_mehrabi_2017_mean,0.1214794497667069,5.193389464266046e-40,NA,6454,5922,284.65487262522817,294.92568945857977,10,10,1,1000,1,695.7397378975144,0,-10.270816833351603,0.54035525303797,0.0807105060759401,0.0037000841744816437,0,5.9353022448754805e-40,0.004228667627979021,0
Sed_Ret_Ratio,fields_mehrabi_2017_mean,0.1174651166912634,0,NA,70403,55228,556.3657296282279,405.2070330407222,5.105219968600819,10,1,2557.648670052323,1,1000,-4.894780031399181,151.1586965875057,0.44476990136952455,-0.11046019726095091,0,0,0,0,0
Sed_export,fields_mehrabi_2017_mean,0.11546649559630015,3.208251354235493e-300,NA,47826,56437,872.5054021230825,395.69392205359753,10,10,1,5000,1,1000,0,476.81148006948496,0.5113256480656823,0.022651296131364518,0,0,1.2833005416941973e-299,0,0
Nature_Access,fields_mehrabi_2017_mean,0.10671616840885184,8.978012119510939e-285,NA,65548,51199,402.9514047075403,418.45750247731763,7.863462813894095,10,1,676.1554414038882,1,1000,-2.1365371861059046,-15.506097769777341,0.4391146546732048,-0.12177069065359036,0,0.0036905177322007487,2.394136565202917e-284,0,0.0036905177322007487
N_export,fields_mehrabi_2017_mean,0.08167047750435925,1.2759628252550232e-169,NA,61047,55988,644.4169496835284,392.48046921024826,10,10,1,3919.6438205694685,1,1000,0,251.93648047328014,0.46754174162308504,-0.06491651675382992,0,0,2.0415405204080374e-169,0,0
N_Ret_Ratio,fields_mehrabi_2017_mean,0.07857895351354113,1.4245009564375076e-173,NA,78480,54846,310.56496474299485,419.9708083981243,10,10,1,695.7397378975144,1,1000,0,-109.40584365512944,0.4802618593994423,-0.03947628120111535,0,9.992007221626409e-16,2.8490019128750152e-173,0,1.3322676295501878e-15
Pollination,fields_mehrabi_2017_mean,0.06624738499049797,2.6980030115002685e-82,NA,41697,44289,705.8485164213255,422.0744652535852,10,10,1,4540.17185673884,1,1000,0,283.7740511677403,0.5096626164991553,0.019325232998310682,2.6677597575464063e-8,0,3.597337348667024e-82,3.557013010061875e-8,0
C_Risk_Red_Ratio,fields_mehrabi_2017_mean,0.062147857565937235,2.7563552033445196e-10,NA,6054,5713,390.2391191872843,295.000365270624,10,10,1,1425.2836966874145,1,695.7397378975144,0,95.2387539166603,0.5237303413915637,0.04746068278312743,0.21430477186861774,1.3781775720644873e-10,2.7563552033445196e-10,0.21430477186861774,1.575060082359414e-10
Pollination,hdi_raster_predictions_2020_mean,0.1989448594292639,0,NA,43325,44575,0.6278794941029154,0.6662919367117853,0.6311089499131021,0.6788547333418928,0.445872745768768,0.7995021424279175,0.4506614714011049,0.8430505094516647,-0.04774578342879077,-0.03841244260886989,0.4028416869070878,-0.19431662618582435,0,0.37689073712621357,0,0,0.37689073712621357
C_Risk,hdi_raster_predictions_2020_mean,0.12635908180941222,3.0852363118724914e-73,NA,11342,9775,0.7474972070321936,0.7225924881246921,0.7759137276131493,0.733237790329802,0.5316148925530176,0.9095901625428355,0.5366755148750336,0.8971961231372999,0.04267593728334729,0.024904718907501455,0.5510835763775046,0.1021671527550092,0,0,4.113648415829988e-73,0,0
Sed_export,hdi_raster_predictions_2020_mean,0.12084390571602684,0,NA,72142,73258,0.6519958631584182,0.6583359372111309,0.6370971300949771,0.6702831762179118,0.5093209130929804,0.8130202544139157,0.44285510448007337,0.8332896401348099,-0.03318604612293463,-0.006340074052712752,0.463166630386356,-0.07366673922728795,0,0,0,0,0
N_Ret_Ratio,hdi_raster_predictions_2020_mean,0.1141099347197146,0,NA,86136,72385,0.6926179743298139,0.6547910445286784,0.695568308951272,0.6664945235504162,0.5139741601854246,0.8618383905937734,0.4407903024232075,0.8306277153499523,0.02907378540085581,0.037826929801135445,0.5689976341703326,0.1379952683406651,0.9996247352064496,0,0,0.9996247352064496,0
Nature_Access,hdi_raster_predictions_2020_mean,0.0943651839522857,4.1310263633558043e-283,NA,77583,69100,0.6513966479330441,0.6650924017579525,0.66094893043845,0.6771182002937947,0.44684714429359723,0.8234480208656757,0.4474579361036569,0.8410621277044735,-0.016169269855344615,-0.013695753824908397,0.46352032787704156,-0.07295934424591688,0,2.059318042979541e-6,8.262052726711609e-283,0,2.353506334833761e-6
N_export,hdi_raster_predictions_2020_mean,0.06748149734976316,3.227859179972489e-153,NA,82426,72701,0.653765858620254,0.6581115717124747,0.6582320633743806,0.6706559339049726,0.4690786013312405,0.8297473943744761,0.44314483640120006,0.832284891788986,-0.012423870530592018,-0.004345713092220649,0.48129350351246314,-0.03741299297507372,0,0,5.164574687955983e-153,0,0
