service,income_grp,hdi_bin,gdp_bin,gini_bin,exposed_population,hotspot_cells
C_Risk,Upper middle income,High (0.700-0.800),Q3,Q3,65311.531367905445,42
C_Risk,Upper middle income,High (0.700-0.800),Q3,Q4 (Highest Gini),108727.51838920848,37
C_Risk,Upper middle income,High (0.700-0.800),Q4 (Highest GDP),Q1 (Lowest Gini),5023680.467491303,76
C_Risk,Upper middle income,High (0.700-0.800),Q4 (Highest GDP),Q2,7148359.918769964,93
C_Risk,Upper middle income,High (0.700-0.800),Q4 (Highest GDP),Q3,8058710.017916252,145
C_Risk,Upper middle income,High (0.700-0.800),Q4 (Highest GDP),Q4 (Highest Gini),15776449.251982387,137
C_Risk,Upper middle income,Very High (>0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),0,4
C_Risk,Upper middle income,Very High (>0.800),Q1 (Lowest GDP),Q3,6.131561571732163,2
C_Risk,Upper middle income,Very High (>0.800),Q1 (Lowest GDP),Q4 (Highest Gini),33.571788784703756,1
C_Risk,Upper middle income,Very High (>0.800),Q2,Q1 (Lowest Gini),326.7664635589218,1
C_Risk,Upper middle income,Very High (>0.800),Q2,Q3,13.015009546915573,1
C_Risk,Upper middle income,Very High (>0.800),Q3,Q1 (Lowest Gini),5287.455941304179,5
C_Risk,Upper middle income,Very High (>0.800),Q3,Q3,7287.1539733207455,4
C_Risk,Upper middle income,Very High (>0.800),Q3,Q4 (Highest Gini),270.19135606248676,1
C_Risk,Upper middle income,Very High (>0.800),Q4 (Highest GDP),Q1 (Lowest Gini),13088362.061326277,72
C_Risk,Upper middle income,Very High (>0.800),Q4 (Highest GDP),Q2,14115642.487544492,63
C_Risk,Upper middle income,Very High (>0.800),Q4 (Highest GDP),Q3,14235861.801464522,114
C_Risk,Upper middle income,Very High (>0.800),Q4 (Highest GDP),Q4 (Highest Gini),4701590.517613024,30
C_Risk_Red_Ratio,High income,Medium (0.550-0.700),Q2,Q4 (Highest Gini),78.45072937663645,1
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),18.18694259678773,12
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q1 (Lowest GDP),Q2,3.1203470547760452,6
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q1 (Lowest GDP),Q3,4.529840487965861,3
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q2,Q1 (Lowest Gini),1016.8467654164299,19
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q2,Q2,293.45040181826715,7
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q2,Q3,51.858999969896146,2
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q3,Q1 (Lowest Gini),7697.997639890933,17
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q3,Q2,1756.5230166903318,4
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q3,Q3,889.8253489774484,2
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q3,NA,611.0631871645435,1
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q4 (Highest GDP),Q1 (Lowest Gini),12497.281712397951,4
C_Risk_Red_Ratio,High income,High (0.700-0.800),Q4 (Highest GDP),Q2,805209.38437448,4
C_Risk_Red_Ratio,High income,Very High (>0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),143.178064803137,61
C_Risk_Red_Ratio,High income,Very High (>0.800),Q1 (Lowest GDP),Q2,6.146707837304217,13
C_Risk_Red_Ratio,High income,Very High (>0.800),Q1 (Lowest GDP),Q3,11.713956319790064,11
C_Risk_Red_Ratio,High income,Very High (>0.800),Q2,Q1 (Lowest Gini),4744.27852777443,102
C_Risk_Red_Ratio,High income,Very High (>0.800),Q2,Q2,458.0903845947878,13
C_Risk_Red_Ratio,High income,Very High (>0.800),Q2,Q3,280.5988561531375,7
C_Risk_Red_Ratio,High income,Very High (>0.800),Q3,Q1 (Lowest Gini),93699.9035903823,218
C_Risk_Red_Ratio,High income,Very High (>0.800),Q3,Q2,36596.42380741016,47
C_Risk_Red_Ratio,High income,Very High (>0.800),Q3,Q3,6944.248272226645,20
C_Risk_Red_Ratio,High income,Very High (>0.800),Q4 (Highest GDP),Q1 (Lowest Gini),40081149.283086665,817
C_Risk_Red_Ratio,High income,Very High (>0.800),Q4 (Highest GDP),Q2,23322269.750171736,357
C_Risk_Red_Ratio,High income,Very High (>0.800),Q4 (Highest GDP),Q3,5387305.765649377,116
C_Risk_Red_Ratio,High income,Very High (>0.800),Q4 (Highest GDP),NA,104696.98875977793,1
C_Risk_Red_Ratio,Low income,Low (<0.550),Q1 (Lowest GDP),Q2,614.0976011045773,5
C_Risk_Red_Ratio,Low income,Low (<0.550),Q1 (Lowest GDP),Q3,95.19306622205056,1
C_Risk_Red_Ratio,Low income,Low (<0.550),Q2,Q1 (Lowest Gini),18604.222154361392,8
C_Risk_Red_Ratio,Low income,Low (<0.550),Q2,Q2,21954.26395237678,13
C_Risk_Red_Ratio,Low income,Low (<0.550),Q2,Q3,30880.520489308445,19
