...1,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,id,ee_r264_name,dir_ch_2,area_sqkm,service,pct_ch,area_sqkm_country,GHS_BUILT_S_E2020_GLOBE_R2023A_4326_3ss_V1_0_mean,rast_gdpTot_1990_2020_30arcsec.7_mean,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.1_mean,GlobPOP_Count_30arc_2020_I32.1_sum,hdi_raster_predictions_2020.1_mean,farmsize_mehrabi.1_mean,GlobPOP_sqkm,pct_ch_trans,pct_ch_focus,threshold
16278,1060032150,0,1060032150,1060032150,0,0,9281.1,9281.1,156020,0,0,1,1970,226,Tunisia,-0.0599,9281.148861,Coastal_Protection,-77.90831329,155414.0702,14.99041023,82833.73998,0.113221074,146731.1405,0.652228916,NA,15.80967132,-4.368286587,77.90831329,13.41768206
9276,1060012540,0,1060012540,1060012540,0,0,19903.9,19903.9,123080,0,0,1,534,152,Mozambique,-6.5441,19903.93522,N_Ret_Ratio,-1.681,791476.4866,14.05701011,44860.41283,0.15221426,438298.6915,0.436256689,1,22.02074425,-0.986189859,1.681,1.24125
9282,1060012550,0,1060012550,1060012550,0,0,3159.8,3159.8,123090,0,1,0,535,152,Mozambique,-8.4006,3159.764314,N_Ret_Ratio,-1.321,791476.4866,67.54866913,96433.3143,0.650249804,236219.2376,0.413755261,1,74.7576548,-0.841998127,1.321,1.24125
9284,1060012590,0,1060012590,1060012590,0,0,2666.7,407139,124100,0,0,1,536,152,Mozambique,-8.336,2666.665638,Sed_Ret_Ratio,-1.0672,791476.4866,146.5282697,208190.7642,1.51228437,476936.4153,0.439482302,1,178.8489201,-0.726195035,1.0672,0.8475
9287,1060012590,0,1060012590,1060012590,0,0,2666.7,407139,124100,0,0,1,536,152,Mozambique,-8.336,2666.665638,N_export,37.692,791476.4866,146.5282697,208190.7642,1.51228437,476936.4153,0.439482302,1,178.8489201,3.65563286,37.692,32.524
9288,1060012590,0,1060012590,1060012590,0,0,2666.7,407139,124100,0,0,1,536,152,Mozambique,-8.336,2666.665638,N_Ret_Ratio,-2.274,791476.4866,146.5282697,208190.7642,1.51228437,476936.4153,0.439482302,1,178.8489201,-1.186012479,2.274,1.24125
9322,1061573310,1061576130,1060012590,1060012590,329.1,329.1,1525.9,69647.5,124403,0,0,2,543,152,Mozambique,-1.8282,1525.922949,N_export,52.26,791476.4866,9.460222364,8690.575395,0.106311017,17277.66243,0.434789989,2.536893719,11.32293232,3.97518558,52.26,32.524
9323,1061573310,1061576130,1060012590,1060012590,329.1,329.1,1525.9,69647.5,124403,0,0,2,543,152,Mozambique,-1.8282,1525.922949,N_Ret_Ratio,-4.7,791476.4866,9.460222364,8690.575395,0.106311017,17277.66243,0.434789989,2.536893719,11.32293232,-1.740466175,4.7,1.24125
9333,1061574470,1061573310,1060012590,1060012590,388.3,388.3,12347.8,54359,124405,0,0,2,545,261,South Africa,-0.6943,12347.89066,N_Ret_Ratio,-1.439,1222141.604,44.301496,188378.6328,0.238966958,440732.0736,0.656298393,24.77813573,35.69316587,-0.891588119,1.439,1.24125
54098,7060073810,7060049270,7060073810,7060049270,0,1,9872.4,9872.4,752102,2,0,2,1931,235,United States,-0.4798,9872.445033,Pollination,-100,9495436.365,0.523181503,2198.89168,0.00058113,1066.356802,0.763784789,952.1364304,0.108013938,-4.615120517,100,44.33609554
9395,1061580860,1061574470,1060012590,1060012590,621.3,621.3,7142.9,7143,124406,0,0,3,558,261,South Africa,-1.1875,7142.894371,Sed_Ret_Ratio,-1.0557,1222141.604,70.46764967,320021.8918,0.401049787,381280.1842,0.664228927,88.35747282,53.37890551,-0.720616423,1.0557,0.8475
