"","Sub_Region","mean","raster_name","service","year","color"
"96","Mesoamerica",43.3137969970703,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"97","South America",55.2995719909668,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"98","Southern Africa",22.8219528198242,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"99","North Africa",33.382453918457,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"100","West Africa",31.8086204528809,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"101","Central and Western Europe",41.2686882019043,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"102","Central Africa",27.4996566772461,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"103","Eastern Europe",7.205979347229,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"104","Central Asia",47.9805297851562,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"105","East Africa and adjacent islands",101.707130432129,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"106","South Asia",102.806274414062,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"107","North America",12.3740701675415,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"108","North-East Asia",118.274253845215,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"109","Caribbean",1025.89196777344,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"110","Antarctica",NA,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"111","Oceania",135.15234375,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"112","Western Asia",655.313110351562,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"113","South-East Asia",1403.462890625,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"114","Mesoamerica",411.140533447266,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
