service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
N_export,Sub-Saharan Africa,271051,14747,5.440673526384334,84590,17.43350277810616,region_wb,17.36452294664713,1.003972457617809
N_Ret_Ratio,South Asia,63005,3289,5.220220617411316,57514,5.7186076433564,region_wb,4.0363317908936045,1.4167833418100537
Pollination,South Asia,63005,3282,5.209110388064439,84590,3.879891240099303,region_wb,4.0363317908936045,0.9612419000967046
Sed_export,North America,225208,11586,5.144577457283933,84590,13.696654450880718,region_wb,14.427651931808064,0.9493335794083204
N_Ret_Ratio,Middle East & North Africa,119668,6052,5.057325266570846,57514,10.522655353479154,region_wb,7.666371760219917,1.3725730609726265
N_export,Middle East & North Africa,119668,5705,4.767356352575459,84590,6.74429601607755,region_wb,7.666371760219917,0.8797246242444267
Sed_Ret_Ratio,Sub-Saharan Africa,271051,12102,4.46484240973101,58381,20.729346876552306,region_wb,17.36452294664713,1.1937757772121738
N_Ret_Ratio,Latin America & Caribbean,243999,10110,4.143459604342641,57514,17.578328754737978,region_wb,15.631472433080686,1.1245472126821006
Sed_export,Sub-Saharan Africa,271051,10949,4.039461208407274,84590,12.943610355834023,region_wb,17.36452294664713,0.7454054681262217
N_Ret_Ratio,Sub-Saharan Africa,271051,9078,3.349185208687664,57514,15.783983030218728,region_wb,17.36452294664713,0.9089787884593982
Sed_export,Europe & Central Asia,354353,11650,3.2876820571576935,84590,13.77231351223549,region_wb,22.701155132108905,0.6066789743556129
Pollination,Europe & Central Asia,354353,11590,3.2707497890521595,84590,13.701383142215393,region_wb,22.701155132108905,0.6035544474490605
Nature_Access,Europe & Central Asia,354353,10907,3.078004137117507,77003,14.164383205849123,region_wb,22.701155132108905,0.6239498881629497
Pollination,North America,225208,6827,3.031419842989592,84590,8.070693935453363,region_wb,14.427651931808064,0.559390673797739
Sed_Ret_Ratio,South Asia,63005,1851,2.9378620744385366,58381,3.170552063171237,region_wb,4.0363317908936045,0.7855033301088729
N_export,Europe & Central Asia,354353,10000,2.8220446842555305,84590,11.821728336682822,region_wb,22.701155132108905,0.5207544844254188
N_export,North America,225208,4623,2.052768995772797,84590,5.46518501004847,region_wb,14.427651931808064,0.37879933865049764
Sed_export,South Asia,63005,1254,1.990318228712007,84590,1.4824447334200261,region_wb,4.0363317908936045,0.3672752415360352
Sed_Ret_Ratio,Europe & Central Asia,354353,6986,1.9714804164209134,58381,11.966221887257841,region_wb,22.701155132108905,0.5271195151797633
N_Ret_Ratio,Europe & Central Asia,354353,6223,1.7561584070122167,57514,10.81997426713496,region_wb,22.701155132108905,0.47662659473354296
Sed_Ret_Ratio,Middle East & North Africa,119668,2022,1.6896747668549654,58381,3.463455576300509,region_wb,7.666371760219917,0.45177245307513714
Nature_Access,North America,225208,3477,1.5439060779368405,77003,4.515408490578289,region_wb,14.427651931808064,0.3129690480419305
N_Ret_Ratio,North America,225208,3397,1.5083833611594615,57514,5.906388009875856,region_wb,14.427651931808064,0.4093797131918798
Sed_Ret_Ratio,North America,225208,2959,1.3138964868033107,58381,5.068429797365582,region_wb,14.427651931808064,0.35129970013980016
Pollination,Middle East & North Africa,119668,1183,0.9885683724972424,84590,1.3985104622295779,region_wb,7.666371760219917,0.1824214251500713
Sed_export,Middle East & North Africa,119668,520,0.4345355483504362,84590,0.6147298735075069,region_wb,7.666371760219917,0.08018524182420718
C_Risk_Red_Ratio,East Asia & Pacific,283663,1190,0.4195118855825399,4337,27.438321420336635,region_wb,18.172494005241692,1.5098819904643963
C_Risk,East Asia & Pacific,283663,1163,0.40999354868276794,4337,26.815771270463458,region_wb,18.172494005241692,1.4756241637899945
C_Risk_Red_Ratio,Europe & Central Asia,354353,1220,0.3442894514791747,4337,28.130043809084622,region_wb,22.701155132108905,1.2391459221075938
C_Risk,Europe & Central Asia,354353,1204,0.3397741799843659,4337,27.761125201752364,region_wb,22.701155132108905,1.222894828047166
C_Risk,North America,225208,636,0.2824055983801641,4337,14.66451464145723,region_wb,14.427651931808064,1.0164172736332073
C_Risk_Red_Ratio,South Asia,63005,174,0.2761685580509483,4337,4.011989854738298,region_wb,4.0363317908936045,0.9939692925615716
C_Risk,South Asia,63005,167,0.26505832870407114,4337,3.850587964030436,region_wb,4.0363317908936045,0.9539820221711638
C_Risk_Red_Ratio,North America,225208,596,0.2646442399914746,4337,13.742218123126584,region_wb,14.427651931808064,0.9524916589392948
C_Risk,Latin America & Caribbean,243999,623,0.2553289152824397,4337,14.36476827299977,region_wb,15.631472433080686,0.9189645015526364
C_Risk_Red_Ratio,Latin America & Caribbean,243999,572,0.23442719027536996,4337,13.1888402121282,region_wb,15.631472433080686,0.8437362678781831
C_Risk_Red_Ratio,Middle East & North Africa,119668,243,0.20306180432529997,4337,5.602951348858658,region_wb,7.666371760219917,0.7308478539916166
C_Risk,Middle East & North Africa,119668,182,0.15208744192265267,4337,4.196449158404427,region_wb,7.666371760219917,0.5473839894093588
