overlap_category,exposure_type,country,region_wb,income_grp,WWF_biome,population
2 or more overlapping,hydrological,Burundi,Sub-Saharan Africa,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,2898861.157324981
2 or more overlapping,hydrological,Cabo Verde,Sub-Saharan Africa,4. Lower middle income,None,0.0
2 or more overlapping,hydrological,Cabo Verde,Sub-Saharan Africa,4. Lower middle income,Tropical & Subtropical Dry Broadleaf Forests,0.0
2 or more overlapping,hydrological,Cambodia,East Asia & Pacific,5. Low income,Mangroves,117028.50076442212
2 or more overlapping,hydrological,Cambodia,East Asia & Pacific,5. Low income,None,421.3640606403351
2 or more overlapping,hydrological,Cambodia,East Asia & Pacific,5. Low income,Tropical & Subtropical Dry Broadleaf Forests,8910163.960537137
2 or more overlapping,hydrological,Cambodia,East Asia & Pacific,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,3816686.577041275
2 or more overlapping,hydrological,Cameroon,Sub-Saharan Africa,4. Lower middle income,Flooded Grasslands & Savannas,1514.9057240635157
2 or more overlapping,hydrological,Cameroon,Sub-Saharan Africa,4. Lower middle income,Lakes,16578.606354743242
2 or more overlapping,hydrological,Cameroon,Sub-Saharan Africa,4. Lower middle income,Mangroves,1472559.8637539074
2 or more overlapping,hydrological,Cameroon,Sub-Saharan Africa,4. Lower middle income,None,223.7429377734661
2 or more overlapping,hydrological,Cameroon,Sub-Saharan Africa,4. Lower middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",4439545.471537053
2 or more overlapping,hydrological,Cameroon,Sub-Saharan Africa,4. Lower middle income,Tropical & Subtropical Moist Broadleaf Forests,3617335.6273979745
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,Boreal Forests/Taiga,500420.19126250676
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,Lakes,784845.7826505303
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,None,156639.56342516487
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,Rock & Ice,0.0
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,Temperate Broadleaf & Mixed Forests,11649920.513518944
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,Temperate Conifer Forests,3761165.8433065596
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,"Temperate Grasslands, Savannas & Shrublands",3852608.2861513617
2 or more overlapping,hydrological,Canada,North America,1. High income: OECD,Tundra,0.0
2 or more overlapping,hydrological,Central African Republic,Sub-Saharan Africa,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1028847.581595831
2 or more overlapping,hydrological,Central African Republic,Sub-Saharan Africa,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,1231271.9482126483
2 or more overlapping,hydrological,Chad,Sub-Saharan Africa,5. Low income,Deserts & Xeric Shrublands,12976.189475321851
2 or more overlapping,hydrological,Chad,Sub-Saharan Africa,5. Low income,Flooded Grasslands & Savannas,267086.08250096184
2 or more overlapping,hydrological,Chad,Sub-Saharan Africa,5. Low income,Lakes,88776.78110882896
2 or more overlapping,hydrological,Chad,Sub-Saharan Africa,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",8718965.062740797
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,618738.5481056279
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,"Mediterranean Forests, Woodlands & Scrub",7947996.121457227
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,Montane Grasslands & Shrublands,17473.13068427553
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,None,19329.32266718708
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,Rock & Ice,0.0
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,Temperate Broadleaf & Mixed Forests,4081070.5976855326
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,"Temperate Grasslands, Savannas & Shrublands",1508.7309278845787
2 or more overlapping,hydrological,Chile,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Boreal Forests/Taiga,0.0
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Deserts & Xeric Shrublands,23898573.975215375
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Flooded Grasslands & Savannas,9286327.412903506
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Montane Grasslands & Shrublands,14343453.536664262
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,None,9339405.476136325
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Rock & Ice,1329.5547365860548
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Temperate Broadleaf & Mixed Forests,547709234.0369903
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Temperate Conifer Forests,8396984.93748234
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,"Temperate Grasslands, Savannas & Shrublands",18903672.15390989
2 or more overlapping,hydrological,China,East Asia & Pacific,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,251984422.32449234
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,669550.8407180689
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,Mangroves,31769.22658133341
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,Montane Grasslands & Shrublands,180175.68542981893
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,None,88978.86216396466
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,5110845.6118120635
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",355619.0177239156
2 or more overlapping,hydrological,Colombia,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,23720534.01228111
2 or more overlapping,hydrological,Comoros,Sub-Saharan Africa,5. Low income,None,0.0
2 or more overlapping,hydrological,Comoros,Sub-Saharan Africa,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,Cook Islands,East Asia & Pacific,3. Upper middle income,None,0.0
2 or more overlapping,hydrological,Cook Islands,East Asia & Pacific,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,Costa Rica,Latin America & Caribbean,3. Upper middle income,Mangroves,12123.084187701344
2 or more overlapping,hydrological,Costa Rica,Latin America & Caribbean,3. Upper middle income,None,7089.033967882395
2 or more overlapping,hydrological,Costa Rica,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,70574.24992161989
2 or more overlapping,hydrological,Costa Rica,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,3916983.8126204503
2 or more overlapping,hydrological,Croatia,Europe & Central Asia,2. High income: nonOECD,"Mediterranean Forests, Woodlands & Scrub",217911.35847327113
2 or more overlapping,hydrological,Croatia,Europe & Central Asia,2. High income: nonOECD,None,4408.801464820281
2 or more overlapping,hydrological,Croatia,Europe & Central Asia,2. High income: nonOECD,Temperate Broadleaf & Mixed Forests,2572237.415636456
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,1235693.936512262
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,Flooded Grasslands & Savannas,13929.434242587537
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,Mangroves,3959.8628361448646
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,None,8858.734823018312
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Coniferous Forests,171180.11674598872
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,1531945.4729531682
2 or more overlapping,hydrological,Cuba,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,490551.3874343354
2 or more overlapping,hydrological,Cura̤ao,Latin America & Caribbean,2. High income: nonOECD,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Cura̤ao,Latin America & Caribbean,2. High income: nonOECD,Mangroves,0.0
2 or more overlapping,hydrological,Cyprus,Europe & Central Asia,2. High income: nonOECD,"Mediterranean Forests, Woodlands & Scrub",228364.94445000135
2 or more overlapping,hydrological,Cyprus,Europe & Central Asia,2. High income: nonOECD,None,2784.1108605116606
2 or more overlapping,hydrological,Czechia,Europe & Central Asia,1. High income: OECD,Temperate Broadleaf & Mixed Forests,2432685.882586044
2 or more overlapping,hydrological,Czechia,Europe & Central Asia,1. High income: OECD,Temperate Conifer Forests,78189.50791264977
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,Flooded Grasslands & Savannas,13814.886399779469
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,Lakes,453430.418101434
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,Mangroves,127978.36120335013
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,Montane Grasslands & Shrublands,47007.994924705476
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,None,14715.674463294446
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",37288014.11028735
2 or more overlapping,hydrological,Democratic Republic of the Congo,Sub-Saharan Africa,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,31461825.458808944
2 or more overlapping,hydrological,Denmark,Europe & Central Asia,1. High income: OECD,None,71218.95635648526
2 or more overlapping,hydrological,Denmark,Europe & Central Asia,1. High income: OECD,Temperate Broadleaf & Mixed Forests,1273457.6156103702
2 or more overlapping,hydrological,Djibouti,Middle East & North Africa,4. Lower middle income,Deserts & Xeric Shrublands,614327.2531624435
2 or more overlapping,hydrological,Djibouti,Middle East & North Africa,4. Lower middle income,None,130.0706299431622
2 or more overlapping,hydrological,Dominica,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Dominica,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,Dominican Republic,Latin America & Caribbean,3. Upper middle income,Flooded Grasslands & Savannas,13214.647057317197
2 or more overlapping,hydrological,Dominican Republic,Latin America & Caribbean,3. Upper middle income,Mangroves,5010.2876386754215
2 or more overlapping,hydrological,Dominican Republic,Latin America & Caribbean,3. Upper middle income,None,3175.5767548680305
2 or more overlapping,hydrological,Dominican Republic,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Coniferous Forests,99419.0269631049
2 or more overlapping,hydrological,Dominican Republic,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,1341753.0113763926
2 or more overlapping,hydrological,Dominican Republic,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,5672287.164484581
2 or more overlapping,hydrological,East Timor,East Asia & Pacific,4. Lower middle income,None,0.0
2 or more overlapping,hydrological,East Timor,East Asia & Pacific,4. Lower middle income,Tropical & Subtropical Dry Broadleaf Forests,214821.58873383567
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,Flooded Grasslands & Savannas,302352.84172243346
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,Mangroves,120147.98327255691
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,Montane Grasslands & Shrublands,118398.12340722466
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,None,21786.026957929134
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,251222.06234965043
2 or more overlapping,hydrological,Ecuador,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,6635449.093119705
2 or more overlapping,hydrological,Egypt,Middle East & North Africa,4. Lower middle income,Deserts & Xeric Shrublands,14302197.481837034
2 or more overlapping,hydrological,Egypt,Middle East & North Africa,4. Lower middle income,Flooded Grasslands & Savannas,64105865.08009784
2 or more overlapping,hydrological,Egypt,Middle East & North Africa,4. Lower middle income,"Mediterranean Forests, Woodlands & Scrub",7055303.820189016
2 or more overlapping,hydrological,Egypt,Middle East & North Africa,4. Lower middle income,None,1428228.1820983796
2 or more overlapping,hydrological,El Salvador,Latin America & Caribbean,4. Lower middle income,Mangroves,28728.416837841272
2 or more overlapping,hydrological,El Salvador,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Coniferous Forests,98586.61635287292
2 or more overlapping,hydrological,El Salvador,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Dry Broadleaf Forests,200375.3201976996
2 or more overlapping,hydrological,El Salvador,Latin America & Caribbean,4. Lower middle income,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,Equatorial Guinea,Sub-Saharan Africa,2. High income: nonOECD,Mangroves,0.0
2 or more overlapping,hydrological,Equatorial Guinea,Sub-Saharan Africa,2. High income: nonOECD,None,1111.1437021493912
2 or more overlapping,hydrological,Equatorial Guinea,Sub-Saharan Africa,2. High income: nonOECD,Tropical & Subtropical Moist Broadleaf Forests,1018608.8904073127
2 or more overlapping,hydrological,Eritrea,Sub-Saharan Africa,5. Low income,Deserts & Xeric Shrublands,245334.19695736805
2 or more overlapping,hydrological,Eritrea,Sub-Saharan Africa,5. Low income,Montane Grasslands & Shrublands,1818.3937652595341
2 or more overlapping,hydrological,Eritrea,Sub-Saharan Africa,5. Low income,None,3818.232497215271
